measure_event_type,measure_event_id,measure_event_performed_on_date,batch_id,batch_name,cultivar_id,cultivar_name,location_id,location_name,work_order_id,work_order_name,work_order_type_id,work_order_type_name,work_order_start_date,work_order_close_date,substance_type_id,substance_type_name,measure_event_value,measure_event_unit,,,,,,,
WO - INPUT,281291,2021-11-11 12:37:48,15530,Black Do-Lato Trials 06/30/21,7864,NN4,,,23543,Black Do-Lato Trials 06/30/21 Drying #1,446,Drying,2021-11-11 12:33:27,2021-11-25 12:39:32,762,Fresh Cannabis,9132,g,,,,,,,
WO - INPUT,281302,2021-11-11 12:40:11,15531,Soul Magic Trials 06/30/21,7863,NN3,,,23546,Soul Magic Trials 06/30/21 Drying #1,446,Drying,2021-11-11 12:40:03,2021-11-25 12:42:06,762,Fresh Cannabis,4350,g,,,,,,,
WO - INPUT,281312,2021-11-11 12:42:50,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,,,23547,Sour Apple Truffle Trial 06/30/21 Drying #1,446,Drying,2021-11-11 12:42:42,2021-11-29 12:43:43,762,Fresh Cannabis,5440,g,,,,,,,
WO - INPUT,281319,2021-11-11 12:44:09,15533,Shaq Fu Trial 06/30/21,7861,NN1,,,23548,Shaq Fu Trial 06/30/21 Drying #1,446,Drying,2021-11-11 12:43:59,2021-11-25 12:44:59,762,Fresh Cannabis,8614,g,,,,,,,
WO - INPUT,281326,2021-11-11 12:45:36,15534,Space Cake Trials 07/06/21,7869,Space Cake,,,23549,Space Cake Trials 07/06/21 Drying #1,446,Drying,2021-11-11 12:45:25,2021-11-25 12:57:03,762,Fresh Cannabis,11774,g,,,,,,,
WO - INPUT,281333,2021-11-26 12:48:10,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,,,23550,20g Sample to Laboratoire PhytoChemia,704,Sample Shipment,2021-11-26 12:47:54,2021-11-29 12:48:18,819,Dried Cannabis,20,g,,,,,,,
WO - INPUT,281335,2021-11-26 12:49:12,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,,,23551,10g Sample to High North,704,Sample Shipment,2021-11-26 12:48:31,2021-11-26 12:49:18,819,Dried Cannabis,10,g,,,,,,,
WO - INPUT,325827,2021-12-31 9:30:53,15533,Shaq Fu Trial 06/30/21,7861,NN1,1356,202 - Post-harvest processing,27374,Machine Trimming,1141,Trimming Work Order,2021-12-31 9:26:14,2022-01-04 9:34:10,819,Dried Cannabis,1808,g,,,,,,,
WO - INPUT,325851,2021-12-31 9:37:21,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,1356,202 - Post-harvest processing,27376,Trimming Dec 31 2021,1141,Trimming Work Order,2021-12-31 9:37:02,2022-01-04 9:40:37,819,Dried Cannabis,1068,g,,,,,,,
WO - INPUT,325859,2021-12-31 9:41:41,15531,Soul Magic Trials 06/30/21,7863,NN3,1356,202 - Post-harvest processing,27378,Trimming December 31 2021,1141,Trimming Work Order,2021-12-31 9:41:15,2022-01-06 15:54:03,819,Dried Cannabis,934,g,,,,,,,
WO - INPUT,325908,2021-12-30 10:15:11,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,1356,202 - Post-harvest processing,27382,Trimming concluded on Dec 30 2021,1141,Trimming Work Order,2021-12-30 10:14:53,2022-01-06 15:52:00,819,Dried Cannabis,51128,g,,,,,,,
WO - INPUT,329574,2022-01-05 9:32:24,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,1357,203 - Secure storage,27490,Sitka Sale 2022-01-05 2,557,Sale of Cannabis,2022-01-05 9:31:32,2022-01-05 9:32:58,819,Dried Cannabis,27116,g,,,,,,,
WO - INPUT,329576,2022-01-05 9:33:56,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,1357,203 - Secure storage,27491,Good Buds Sale 2022-01-05,557,Sale of Cannabis,2022-01-05 9:33:12,2022-01-05 9:34:08,819,Dried Cannabis,13136,g,,,,,,,
WO - INPUT,329683,2022-01-05 10:42:39,16037,Mango Merengue 08/26/21,7907,Mango Merengue,1357,203 - Secure storage,27489,Sitka Sale 2022-01-05 - Mango Merengue,557,Sale of Cannabis,2022-01-05 9:22:39,2022-01-05 10:42:53,819,Dried Cannabis,38540,g,,,,,,,
WO - INPUT,331982,2022-01-04 13:53:11,15530,Black Do-Lato Trials 06/30/21,7864,NN4,1356,202 - Post-harvest processing,27729,January 4 Black Do Lado trimming,1141,Trimming Work Order,2022-01-04 13:52:55,2022-01-06 15:50:53,819,Dried Cannabis,1982,g,,,,,,,
WO - INPUT,332194,2022-01-05 15:20:22,15529,Black Hammer Trials 06/30/21,7865,NN5,1356,202 - Post-harvest processing,27742,Trimming work order for January 5th,1141,Trimming Work Order,2022-01-05 15:20:07,2022-01-06 15:49:35,819,Dried Cannabis,1148,g,,,,,,,
WO - INPUT,332200,2022-01-05 15:29:09,15528,Black Wine Trials 06/30/21,7866,NN6,1356,202 - Post-harvest processing,27743,January 5th Trimming,1141,Trimming Work Order,2022-01-05 15:28:50,2022-01-06 15:48:50,819,Dried Cannabis,1230,g,,,,,,,
WO - INPUT,333199,2022-01-07 11:55:33,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,1356,202 - Post-harvest processing,27828,Phenotype homogenization Jan 7,1157,Homogenization,2022-01-07 10:41:50,2022-01-07 12:10:03,819,Dried Cannabis,716,g,,,,,,,
WO - INPUT,333195,2022-01-07 11:55:04,15531,Soul Magic Trials 06/30/21,7863,NN3,1356,202 - Post-harvest processing,27828,Phenotype homogenization Jan 7,1157,Homogenization,2022-01-07 10:41:50,2022-01-07 12:10:03,819,Dried Cannabis,670,g,,,,,,,
