measure_event_type,measure_event_id,measure_event_performed_on_date,batch_id,batch_name,cultivar_id,cultivar_name,location_id,location_name,work_order_id,work_order_name,work_order_type_id,work_order_type_name,work_order_start_date,work_order_close_date,substance_type_id,substance_type_name,measure_event_value,measure_event_unit,,,,,,,
WO - OUTPUT,347915,2021-12-10 21:17:36,16037,Mango Merengue 08/26/21,7907,Mango Merengue,1357,203 - Secure storage,24787,200g Internal Retention Sample of Mango Merengue,776,Internal Retention Sample,2021-12-08 14:17:56,2022-01-20 9:17:51,1345,Internal Retention Sample,200,g,,,,,,,
WO - OUTPUT,442379,2022-03-28 10:32:28,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,39243,Space Cake 1 - 2021/11/25 Harvest #1,430,Harvest,2022-03-28 10:25:55,2022-03-28 10:33:23,762,Fresh Cannabis,332250,g,,,,,,,
WO - OUTPUT,480045,2022-04-27 12:40:38,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,42614,Mango Merengue 2 2022-01-17 Harvest #1,430,Harvest,2022-04-27 12:40:13,,762,Fresh Cannabis,251714,g,,,,,,,
WO - OUTPUT,463849,2022-04-15 12:12:25,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,41194,Space Cake 1 - 2021/11/25 Drying #1,446,Drying,2022-04-04 12:11:17,2022-04-15 12:13:08,2412,Trim,2764,g,,,,,,,
WO - OUTPUT,463847,2022-04-15 12:12:06,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,41194,Space Cake 1 - 2021/11/25 Drying #1,446,Drying,2022-04-04 12:11:17,2022-04-15 12:13:08,819,Dried Cannabis,70248,g,,,,,,,
WO - DESTRUCTION,62572,2021-03-31 12:45:57,7246,Blue Lime Pi 2,4493,Blue Lime PI,1355,201 - Cultivation,4234,Defoliation,429,Defoliation,2021-03-12 13:44:19,2021-03-12 13:46:29,763,Fresh Cannabis Waste,11000,g,,,,,,,
WO - DESTRUCTION,68831,2021-04-13 9:52:56,7246,Blue Lime Pi 2,4493,Blue Lime PI,1356,202 - Post-harvest processing,4672,010820 BLP Drying #1,446,Drying,2021-03-18 14:00:08,2021-04-13 9:53:02,820,Dried Cannabis Waste,11600,g,,,,,,,
WO - DESTRUCTION,119726,2021-06-30 14:27:50,9697,BLP5 - 03/09/21,4494,Blue Lime Pi,,,7892,BLP5 - 03/09/21  Harvest #1,430,Harvest,2021-06-28 9:23:23,2021-07-02 9:28:21,763,Fresh Cannabis Waste,2200,g,,,,,,,
WO - DESTRUCTION,275712,2021-11-24 13:48:06,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,,,23070,Blue Lime Pi 9 07/20/21 Drying #1,446,Drying,2021-11-11 15:42:56,2021-11-24 13:48:12,819,Dried Cannabis,398,g,,,,,,,
WO - DESTRUCTION,281301,2021-11-25 12:39:16,15530,Black Do-Lato Trials 06/30/21,7864,NN4,,,23543,Black Do-Lato Trials 06/30/21 Drying #1,446,Drying,2021-11-11 12:33:27,2021-11-25 12:39:32,819,Dried Cannabis,6,g,,,,,,,
WO - DESTRUCTION,281310,2021-11-25 12:41:36,15531,Soul Magic Trials 06/30/21,7863,NN3,,,23546,Soul Magic Trials 06/30/21 Drying #1,446,Drying,2021-11-11 12:40:03,2021-11-25 12:42:06,819,Dried Cannabis,3,g,,,,,,,
WO - DESTRUCTION,281318,2021-11-25 12:43:34,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,,,23547,Sour Apple Truffle Trial 06/30/21 Drying #1,446,Drying,2021-11-11 12:42:42,2021-11-29 12:43:43,819,Dried Cannabis,5,g,,,,,,,
WO - DESTRUCTION,281323,2021-11-25 12:44:52,15533,Shaq Fu Trial 06/30/21,7861,NN1,,,23548,Shaq Fu Trial 06/30/21 Drying #1,446,Drying,2021-11-11 12:43:59,2021-11-25 12:44:59,819,Dried Cannabis,7,g,,,,,,,
WO - DESTRUCTION,281330,2021-11-25 12:46:34,15534,Space Cake Trials 07/06/21,7869,Space Cake,,,23549,Space Cake Trials 07/06/21 Drying #1,446,Drying,2021-11-11 12:45:25,2021-11-25 12:57:03,819,Dried Cannabis,5,g,,,,,,,
WO - DESTRUCTION,294861,2021-12-08 9:19:40,16037,Mango Merengue 08/26/21,7907,Mango Merengue,,,24252,Mango Merengue 08/26/21 Drying #1,446,Drying,2021-11-25 15:00:37,2021-12-08 9:19:58,819,Dried Cannabis,1680,g,,,,,,,
WO - DESTRUCTION,382924,2021-12-31 16:22:05,15534,Space Cake Trials 07/06/21,7869,Space Cake,1356,202 - Post-harvest processing,27170,Space Cake Trimming event,1141,Trimming Work Order,2021-12-31 12:33:19,2021-12-31 16:22:40,820,Dried Cannabis Waste,146,g,,,,,,,
WO - DESTRUCTION,325845,2021-12-31 9:32:29,15533,Shaq Fu Trial 06/30/21,7861,NN1,1356,202 - Post-harvest processing,27374,Machine Trimming,1141,Trimming Work Order,2021-12-31 9:26:14,2022-01-04 9:34:10,820,Dried Cannabis Waste,24,g,,,,,,,
WO - DESTRUCTION,325855,2021-12-31 9:38:53,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,1356,202 - Post-harvest processing,27376,Trimming Dec 31 2021,1141,Trimming Work Order,2021-12-31 9:37:02,2022-01-04 9:40:37,820,Dried Cannabis Waste,12,g,,,,,,,
WO - DESTRUCTION,332360,2022-01-03 15:53:33,15531,Soul Magic Trials 06/30/21,7863,NN3,1356,202 - Post-harvest processing,27378,Trimming December 31 2021,1141,Trimming Work Order,2021-12-31 9:41:15,2022-01-06 15:54:03,820,Dried Cannabis Waste,8,g,,,,,,,
WO - DESTRUCTION,332351,2022-01-06 15:51:53,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,1356,202 - Post-harvest processing,27382,Trimming concluded on Dec 30 2021,1141,Trimming Work Order,2021-12-30 10:14:53,2022-01-06 15:52:00,820,Dried Cannabis Waste,128,g,,,,,,,
WO - DESTRUCTION,332350,2022-01-06 15:50:45,15530,Black Do-Lato Trials 06/30/21,7864,NN4,1356,202 - Post-harvest processing,27729,January 4 Black Do Lado trimming,1141,Trimming Work Order,2022-01-04 13:52:55,2022-01-06 15:50:53,820,Dried Cannabis Waste,32,g,,,,,,,
WO - DESTRUCTION,332345,2022-01-05 15:49:23,15529,Black Hammer Trials 06/30/21,7865,NN5,1356,202 - Post-harvest processing,27742,Trimming work order for January 5th,1141,Trimming Work Order,2022-01-05 15:20:07,2022-01-06 15:49:35,820,Dried Cannabis Waste,20,g,,,,,,,
WO - DESTRUCTION,332340,2022-01-05 15:48:43,15528,Black Wine Trials 06/30/21,7866,NN6,1356,202 - Post-harvest processing,27743,January 5th Trimming,1141,Trimming Work Order,2022-01-05 15:28:50,2022-01-06 15:48:50,820,Dried Cannabis Waste,16,g,,,,,,,
WO - DESTRUCTION,334218,2022-01-07 16:16:46,24058,Phenotype Mix Batch (Lilac Diesel),11921,MIXED,1356,202 - Post-harvest processing,27840,Milling event January 7,1158,Milling,2022-01-07 12:35:04,2022-01-07 16:17:28,820,Dried Cannabis Waste,4,g,,,,,,,
WO - DESTRUCTION,473356,2022-04-26 9:43:04,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,1357,203 - Secure storage,42189,Sale To WestBay Organics,557,Sale of Cannabis,2022-04-26 9:41:54,2022-04-26 9:53:28,820,Dried Cannabis Waste,522,g,,,,,,,
WO - DESTRUCTION,480261,2022-04-28 13:18:30,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,42614,Mango Merengue 2 2022-01-17 Harvest #1,430,Harvest,2022-04-27 12:40:13,,763,Fresh Cannabis Waste,35400,g,,,,,,,
DESTRUCTION,114662,2021-06-22 12:50:22,9697,BLP5 - 03/09/21,4494,Blue Lime Pi,,,,,,,,,763,Fresh Cannabis Waste,12000,g,,,,,,,
DESTRUCTION,105065,2021-06-08 8:49:20,9697,BLP5 - 03/09/21,4494,Blue Lime Pi,,,,,,,,,763,Fresh Cannabis Waste,80400,g,,,,,,,
DESTRUCTION,77980,2021-04-28 11:22:07,9697,BLP5 - 03/09/21,4494,Blue Lime Pi,,,,,,,,,763,Fresh Cannabis Waste,1200,g,,,,,,,
DESTRUCTION,87281,2021-05-11 10:03:25,9697,BLP5 - 03/09/21,4494,Blue Lime Pi,,,,,,,,,763,Fresh Cannabis Waste,19780,g,,,,,,,
DESTRUCTION,109489,2021-06-14 11:38:56,9697,BLP5 - 03/09/21,4494,Blue Lime Pi,,,,,,,,,763,Fresh Cannabis Waste,13500,g,,,,,,,
DESTRUCTION,101146,2021-06-01 14:09:41,9697,BLP5 - 03/09/21,4494,Blue Lime Pi,,,,,,,,,763,Fresh Cannabis Waste,90700,g,,,,,,,
DESTRUCTION,125959,2021-07-12 14:34:00,9697,BLP5 - 03/09/21,4494,Blue Lime Pi,,,,,,,,,763,Fresh Cannabis Waste,6200,g,,,,,,,
DESTRUCTION,162695,2021-08-23 13:58:10,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,,,,,,,,,1257,Vegetative Plant Waste,700,g,,,,,,,
DESTRUCTION,162739,2021-08-23 14:17:34,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,,,,,,,,,1257,Vegetative Plant Waste,100,g,,,,,,,
DESTRUCTION,162743,2021-08-23 14:18:44,15530,Black Do-Lato Trials 06/30/21,7864,NN4,,,,,,,,,1257,Vegetative Plant Waste,300,g,,,,,,,
DESTRUCTION,162737,2021-08-23 14:17:06,15533,Shaq Fu Trial 06/30/21,7861,NN1,,,,,,,,,1257,Vegetative Plant Waste,200,g,,,,,,,
DESTRUCTION,162741,2021-08-23 14:18:11,15531,Soul Magic Trials 06/30/21,7863,NN3,,,,,,,,,1257,Vegetative Plant Waste,100,g,,,,,,,
DESTRUCTION,162745,2021-08-23 14:19:17,15529,Black Hammer Trials 06/30/21,7865,NN5,,,,,,,,,1257,Vegetative Plant Waste,100,g,,,,,,,
DESTRUCTION,162747,2021-08-23 14:19:41,15528,Black Wine Trials 06/30/21,7866,NN6,,,,,,,,,1257,Vegetative Plant Waste,100,g,,,,,,,
DESTRUCTION,383992,2022-02-09 11:47:39,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,11600,g,,,,,,,
DESTRUCTION,384006,2022-02-07 11:50:30,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,7300,g,,,,,,,
DESTRUCTION,384077,2022-02-15 12:02:57,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,6800,g,,,,,,,
DESTRUCTION,383986,2022-02-04 11:43:52,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,3600,g,,,,,,,
DESTRUCTION,383988,2022-02-05 11:44:26,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,4000,g,,,,,,,
DESTRUCTION,384020,2022-02-08 11:51:09,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,5200,g,,,,,,,
DESTRUCTION,384071,2022-02-15 12:01:55,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1257,Vegetative Plant Waste,6600,g,,,,,,,
DESTRUCTION,384000,2022-02-10 11:49:07,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,3400,g,,,,,,,
DESTRUCTION,179678,2021-09-09 13:29:19,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,,,,,,,,,1257,Vegetative Plant Waste,10100,g,,,,,,,
DESTRUCTION,179680,2021-09-09 11:30:08,15528,Black Wine Trials 06/30/21,7866,NN6,,,,,,,,,1257,Vegetative Plant Waste,2300,g,,,,,,,
DESTRUCTION,179682,2021-09-09 11:30:39,15529,Black Hammer Trials 06/30/21,7865,NN5,,,,,,,,,1257,Vegetative Plant Waste,1300,g,,,,,,,
DESTRUCTION,179684,2021-09-09 11:31:13,15530,Black Do-Lato Trials 06/30/21,7864,NN4,,,,,,,,,1257,Vegetative Plant Waste,4800,g,,,,,,,
DESTRUCTION,179688,2021-09-09 11:31:52,15531,Soul Magic Trials 06/30/21,7863,NN3,,,,,,,,,1257,Vegetative Plant Waste,1100,g,,,,,,,
DESTRUCTION,179690,2021-09-09 11:33:07,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,,,,,,,,,1257,Vegetative Plant Waste,2400,g,,,,,,,
DESTRUCTION,179696,2021-09-09 11:33:37,15533,Shaq Fu Trial 06/30/21,7861,NN1,,,,,,,,,1257,Vegetative Plant Waste,2600,g,,,,,,,
DESTRUCTION,179698,2021-09-09 11:34:12,15534,Space Cake Trials 07/06/21,7869,Space Cake,,,,,,,,,1257,Vegetative Plant Waste,1500,g,,,,,,,
DESTRUCTION,384053,2022-02-13 11:59:25,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1257,Vegetative Plant Waste,3600,g,,,,,,,
DESTRUCTION,384063,2022-02-14 12:00:44,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1257,Vegetative Plant Waste,3100,g,,,,,,,
DESTRUCTION,187343,2021-09-16 9:25:37,9697,BLP5 - 03/09/21,4494,Blue Lime Pi,,,,,,,,,819,Dried Cannabis,130602,g,,,,,,,
DESTRUCTION,196069,2021-09-24 11:45:48,16037,Mango Merengue 08/26/21,7907,Mango Merengue,,,,,,,,,1257,Vegetative Plant Waste,9600,g,,,,,,,
DESTRUCTION,196079,2021-09-24 11:38:53,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,,,,,,,,,763,Fresh Cannabis Waste,8300,g,,,,,,,
DESTRUCTION,196073,2021-09-24 11:38:02,15534,Space Cake Trials 07/06/21,7869,Space Cake,,,,,,,,,763,Fresh Cannabis Waste,1000,g,,,,,,,
DESTRUCTION,196087,2021-09-24 11:40:04,15533,Shaq Fu Trial 06/30/21,7861,NN1,,,,,,,,,763,Fresh Cannabis Waste,1300,g,,,,,,,
DESTRUCTION,196089,2021-09-24 11:40:48,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,,,,,,,,,763,Fresh Cannabis Waste,600,g,,,,,,,
DESTRUCTION,196093,2021-09-24 11:41:34,15531,Soul Magic Trials 06/30/21,7863,NN3,,,,,,,,,763,Fresh Cannabis Waste,300,g,,,,,,,
DESTRUCTION,196101,2021-09-24 11:42:34,15530,Black Do-Lato Trials 06/30/21,7864,NN4,,,,,,,,,763,Fresh Cannabis Waste,1100,g,,,,,,,
DESTRUCTION,196103,2021-09-24 11:43:08,15529,Black Hammer Trials 06/30/21,7865,NN5,,,,,,,,,763,Fresh Cannabis Waste,500,g,,,,,,,
DESTRUCTION,196105,2021-09-24 11:43:54,15528,Black Wine Trials 06/30/21,7866,NN6,,,,,,,,,763,Fresh Cannabis Waste,800,g,,,,,,,
DESTRUCTION,207529,2021-10-06 12:30:01,15528,Black Wine Trials 06/30/21,7866,NN6,,,,,,,,,763,Fresh Cannabis Waste,990,g,,,,,,,
DESTRUCTION,207526,2021-10-06 12:27:18,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,,,,,,,,,763,Fresh Cannabis Waste,45223,g,,,,,,,
DESTRUCTION,242122,2021-10-28 12:01:29,15533,Shaq Fu Trial 06/30/21,7861,NN1,,,,,,,,,763,Fresh Cannabis Waste,1500,g,,,,,,,
DESTRUCTION,242136,2021-10-28 12:03:36,15529,Black Hammer Trials 06/30/21,7865,NN5,,,,,,,,,763,Fresh Cannabis Waste,1000,g,,,,,,,
DESTRUCTION,242107,2021-10-28 11:59:10,16037,Mango Merengue 08/26/21,7907,Mango Merengue,,,,,,,,,763,Fresh Cannabis Waste,48800,g,,,,,,,
DESTRUCTION,242116,2021-10-28 12:00:18,15534,Space Cake Trials 07/06/21,7869,Space Cake,,,,,,,,,763,Fresh Cannabis Waste,1600,g,,,,,,,
DESTRUCTION,242120,2021-10-28 12:00:53,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,,,,,,,,,763,Fresh Cannabis Waste,2100,g,,,,,,,
DESTRUCTION,242126,2021-10-28 12:02:11,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,,,,,,,,,763,Fresh Cannabis Waste,600,g,,,,,,,
DESTRUCTION,242130,2021-10-28 12:02:39,15531,Soul Magic Trials 06/30/21,7863,NN3,,,,,,,,,763,Fresh Cannabis Waste,800,g,,,,,,,
DESTRUCTION,242132,2021-10-28 12:03:07,15530,Black Do-Lato Trials 06/30/21,7864,NN4,,,,,,,,,763,Fresh Cannabis Waste,1400,g,,,,,,,
DESTRUCTION,242140,2021-10-28 12:04:03,15528,Black Wine Trials 06/30/21,7866,NN6,,,,,,,,,763,Fresh Cannabis Waste,800,g,,,,,,,
DESTRUCTION,403559,2022-02-24 15:11:21,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,5,g,,,,,,,
DESTRUCTION,262489,2021-11-15 14:20:56,16037,Mango Merengue 08/26/21,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,6800,g,,,,,,,
DESTRUCTION,335286,2022-01-07 10:56:01,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1257,Vegetative Plant Waste,200,g,,,,,,,
DESTRUCTION,397889,2022-02-15 9:56:22,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1257,Vegetative Plant Waste,13600,g,,,,,,,
DESTRUCTION,397897,2022-02-15 10:00:26,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,4800,g,,,,,,,
DESTRUCTION,397903,2022-02-16 10:03:29,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1257,Vegetative Plant Waste,5300,g,,,,,,,
DESTRUCTION,397907,2022-02-17 10:04:34,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1257,Vegetative Plant Waste,7500,g,,,,,,,
DESTRUCTION,397965,2022-02-22 10:05:58,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,1000,g,,,,,,,
DESTRUCTION,348362,2022-01-20 13:24:17,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,6800,g,,,,,,,
DESTRUCTION,423640,2022-03-09 15:22:53,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,10100,g,,,,,,,
DESTRUCTION,423648,2022-03-16 14:28:42,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,2900,g,,,,,,,
DESTRUCTION,423636,2022-03-08 15:21:01,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,3200,g,,,,,,,
DESTRUCTION,423642,2022-03-10 15:24:41,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,18100,g,,,,,,,
DESTRUCTION,423644,2022-03-11 15:25:51,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,23600,g,,,,,,,
DESTRUCTION,423646,2022-03-14 14:26:15,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,4100,g,,,,,,,
DESTRUCTION,365310,2022-01-26 12:59:09,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1257,Vegetative Plant Waste,700,g,,,,,,,
DESTRUCTION,365312,2022-01-28 13:01:13,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1257,Vegetative Plant Waste,12900,g,,,,,,,
DESTRUCTION,372334,2022-02-01 14:05:49,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,12000,g,,,,,,,
DESTRUCTION,372336,2022-02-02 14:08:57,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,7000,g,,,,,,,
DESTRUCTION,372339,2022-02-03 14:09:43,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,5600,g,,,,,,,
DESTRUCTION,372343,2022-02-04 14:14:27,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,37600,g,,,,,,,
DESTRUCTION,433765,2022-03-19 14:14:17,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,1800,g,,,,,,,
DESTRUCTION,433753,2022-03-17 14:02:02,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,8600,g,,,,,,,
DESTRUCTION,433761,2022-03-18 14:12:47,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,1900,g,,,,,,,
DESTRUCTION,433763,2022-03-21 14:13:31,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,2400,g,,,,,,,
DESTRUCTION,433769,2022-03-21 14:15:32,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,5300,g,,,,,,,
DESTRUCTION,433767,2022-03-20 14:14:51,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,3100,g,,,,,,,
DESTRUCTION,433772,2022-03-22 14:16:24,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,1258,Flowering Plant Waste,3000,g,,,,,,,
DESTRUCTION,433775,2022-03-23 14:16:48,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,5800,g,,,,,,,
DESTRUCTION,441092,2022-03-24 10:50:16,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,3500,g,,,,,,,
DESTRUCTION,441098,2022-03-25 10:52:14,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,3200,g,,,,,,,
DESTRUCTION,441100,2022-03-28 10:53:52,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,3100,g,,,,,,,
DESTRUCTION,441104,2022-03-29 10:54:41,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,2200,g,,,,,,,
DESTRUCTION,441108,2022-03-30 10:55:11,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,400,g,,,,,,,
DESTRUCTION,452957,2022-04-04 11:21:36,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,1800,g,,,,,,,
DESTRUCTION,452959,2022-04-05 11:22:44,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,2700,g,,,,,,,
DESTRUCTION,452961,2022-04-06 11:23:22,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,2000,g,,,,,,,
DESTRUCTION,457026,2022-04-07 13:02:39,27815,Orange Tingz,12710,Orange Tingz,,,,,,,,,1257,Vegetative Plant Waste,1300,g,,,,,,,
DESTRUCTION,457032,2022-04-08 13:03:39,27815,Orange Tingz,12710,Orange Tingz,,,,,,,,,1257,Vegetative Plant Waste,4300,g,,,,,,,
DESTRUCTION,457022,2022-04-11 12:57:26,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,820,Dried Cannabis Waste,20488,g,,,,,,,
DESTRUCTION,459844,2022-04-12 7:51:19,27815,Orange Tingz,12710,Orange Tingz,,,,,,,,,1257,Vegetative Plant Waste,100,g,,,,,,,
DESTRUCTION,459846,2022-04-12 7:51:59,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,820,Dried Cannabis Waste,1700,g,,,,,,,
DESTRUCTION,459850,2022-04-13 7:52:25,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,,,,,,,820,Dried Cannabis Waste,500,g,,,,,,,
DESTRUCTION,467127,2022-04-13 8:44:12,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,500,g,,,,,,,
DESTRUCTION,467131,2022-04-20 8:45:59,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,,,,,,,,,1258,Flowering Plant Waste,100,g,,,,,,,
DESTRUCTION,477073,2022-04-25 11:37:37,27815,Orange Tingz,12710,Orange Tingz,,,,,,,,,1257,Vegetative Plant Waste,7200,g,,,,,,,
DESTRUCTION,477075,2022-04-27 11:38:14,27815,Orange Tingz,12710,Orange Tingz,,,,,,,,,1257,Vegetative Plant Waste,20700,g,,,,,,,
