performed_on,recorded_on,cts_field,batch_id,batch_name,cultivar_id,cultivar_name,growth_stage_id,growth_stage_name,work_order_id,work_order,work_order_type_id,work_order_type,work_order_opened_at,work_order_closed_at,total
2021-08-13 20:14:03,2021-08-13 20:14:03,Additions - Growth Stage,15529,Black Hammer Trials 06/30/21,7865,NN5,569,Vegetative,11930,Recieved 9 NN5 (Black Hammer) Clones from Next Wave on 08/13/21,334,Plant Import,2021-08-13T20:13:18.000Z,2021-08-13T20:14:39.000Z,9
2021-08-13 20:14:03,2021-08-13 20:14:03,Additions - Plant Batch,15529,Black Hammer Trials 06/30/21,7865,NN5,569,Vegetative,11930,Recieved 9 NN5 (Black Hammer) Clones from Next Wave on 08/13/21,334,Plant Import,2021-08-13T20:13:18.000Z,2021-08-13T20:14:39.000Z,9
2021-08-13 20:19:12,2021-08-13 20:19:12,Additions - Growth Stage,15528,Black Wine Trials 06/30/21,7866,NN6,569,Vegetative,11933,Recieved 9 NN6 (Black Wine) Clones from Next Wave on 08/13/21,334,Plant Import,2021-08-13T20:18:57.000Z,2021-08-13T20:19:27.000Z,9
2021-08-13 20:19:12,2021-08-13 20:19:12,Additions - Plant Batch,15528,Black Wine Trials 06/30/21,7866,NN6,569,Vegetative,11933,Recieved 9 NN6 (Black Wine) Clones from Next Wave on 08/13/21,334,Plant Import,2021-08-13T20:18:57.000Z,2021-08-13T20:19:27.000Z,9
2021-08-26 19:36:28,2021-08-26 19:36:28,Additions - Growth Stage,16037,Mango Merengue 08/26/21,7907,Mango Merengue,569,Vegetative,13253,Recieved 544 Mango Merengue Clones from Sitka,208,Propagation,2021-08-26T19:36:12.837Z,2021-08-26T19:36:58.997Z,544
2021-08-26 19:36:28,2021-08-26 19:36:28,Additions - Plant Batch,16037,Mango Merengue 08/26/21,7907,Mango Merengue,569,Vegetative,13253,Recieved 544 Mango Merengue Clones from Sitka,208,Propagation,2021-08-26T19:36:12.837Z,2021-08-26T19:36:58.997Z,544
2021-09-08 22:41:20,2021-09-08 22:41:22,Reductions - Growth Stage,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,569,Vegetative,14973,Advance Growth Stage for Blue Lime Pi 9 07/20/21,852,Advance Growth Stage,2021-09-08T22:41:20.000Z,2021-09-08T22:41:20.000Z,-342
2021-09-08 22:41:20,2021-09-08 22:41:20,Additions - Growth Stage,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,662,Flowering,14973,Advance Growth Stage for Blue Lime Pi 9 07/20/21,852,Advance Growth Stage,2021-09-08T22:41:20.000Z,2021-09-08T22:41:20.000Z,342
2021-09-08 22:43:20,2021-09-08 22:43:21,Reductions - Growth Stage,15528,Black Wine Trials 06/30/21,7866,NN6,569,Vegetative,14976,Advance Growth Stage for Black Wine Trials 06/30/21,852,Advance Growth Stage,2021-09-08T22:43:20.000Z,2021-09-08T22:43:20.000Z,-9
2021-09-08 22:43:20,2021-09-08 22:43:20,Additions - Growth Stage,15528,Black Wine Trials 06/30/21,7866,NN6,662,Flowering,14976,Advance Growth Stage for Black Wine Trials 06/30/21,852,Advance Growth Stage,2021-09-08T22:43:20.000Z,2021-09-08T22:43:20.000Z,9
